labels,entities
"['Soft Skill', 'Soft Skill', 'Soft Skill', 'Solution', 'Soft Skill', 'Soft Skill']","['critical thinking', 'project coordinator', 'playfulness', 'puppet', 'communication skills', 'problem solving']"
"['Position', 'Management', 'Position', 'Position', 'Management', 'Position', 'Management', 'Management']","['written and verbal communication', 'director', 'law degree', 'master degree', 'planning', 'leadership', 'management', 'interpersonal skills']"
"['Position', 'Position', 'Business Function']","['human resources', 'consultant', 'management']"
"['Education Level', 'Academic Discipline', 'Soft Skill', 'Academic Discipline', 'Industry', 'Soft Skill']","['confidence', 'analysis', ""master's degree"", 'statistics', 'distribution', 'presentation']"
"['Soft Skill', 'Soft Skill', 'Position', 'Industry', 'Position', 'Management', 'Education Level', 'Soft Skill', 'Solution']","['organizational skills', 'human resources', 'director', 'public speaking', 'university degree', 'government', 'team players', 'excel', 'willing to work']"
"['Industry', 'Position', 'Position', 'Position', 'Management', 'Work Activity']","['organizational skills', 'director', 'manager', 'projects management', 'planning', 'media']"
"['Position', 'Position', 'Position', 'Management', 'Position', 'Education Level']","['organizational skills', 'director', 'manager', 'university degree', 'excel', 'management']"
"['Position', 'Position', 'Position', 'Position', 'Position', 'Education Level', 'Soft Skill', 'Soft Skill']","['administrative support', 'director', 'university degree', 'communication skills', 'time management', 'project assistant', 'excel', 'willing to work']"
"['Position', 'Position', 'Position', 'Position', 'Position', 'Position', 'Education Level']","['organizational skills', 'director', 'manager', 'university degree', 'software', 'excel', 'accountant']"
"['Industry', 'Position', 'Industry', 'Position', 'Position', 'Solution']","['designer', 'multi-task', 'director', 'media', 'adobe photoshop', 'illustrator']"
"['Soft Skill', 'Position', 'Business Function', 'Management', 'Programming Language']","['public diplomacy', 'human resources', 'c', 'receptionist', 'management']"
"['Business Function', 'Business Function']","['market research', 'transportation']"
"['Academic Discipline', 'Soft Skill', 'Soft Skill', 'Business Function', 'Academic Discipline', 'Industry']","['flexibility', 'mental health', 'social marketing', 'communication skills', 'presentation', 'media']"
"['Position', 'Position', 'Position', 'Management', 'Education Level', 'Management']","['director', 'manager', 'university degree', 'communication skills', 'leadership', 'management']"
"['Industry', 'Position', 'Industry', 'Position', 'Soft Skill', 'Management', 'Management', 'Business Function', 'Management', 'Management', 'Work Activity', 'Academic Discipline', 'Business Function', 'Industry']","['knowledge management', 'energy', 'manager', 'responsibility', 'quality assurance', 'project management', 'written and verbal communications', 'government', 'planning', 'staffing', 'strategic planning', 'management', 'agriculture', 'interpersonal skills']"
"['Management', 'Education Level', 'Management', 'Position', 'Position']","['director', 'project management', 'university degree', 'manager', 'management']"
"['Industry', 'Position', 'Soft Skill', 'Industry', 'Industry', 'Work Activity', 'Education Level', 'Business Function', 'Industry', 'Solution', 'Solution']","['written and verbal communication', 'human resources', 'manager', 'responsibility', 'university degree', 'ms word', 'public relations', 'organizing', 'media', 'excel', 'communications']"
"['Management', 'Solution', 'Business Function']","['ms office', 'management', 'human resources']"
"['Education Level', 'Solution', 'Solution', 'Soft Skill', 'Soft Skill']","['university degree', 'work ethic', 'communication skills', 'ms office', 'excel']"
"['Industry', 'Soft Skill', 'Solution', 'Solution']","['excel', 'logistics', 'ms word', 'interpersonal skills']"
"['Position', 'Position', 'Industry', 'Position', 'Soft Skill', 'Solution']","['logistics', 'communication skills', 'administrative officer', 'team player', 'receptionist', 'excel']"
"['Education Level', 'Solution', 'Solution', 'Soft Skill', 'Soft Skill']","['university degree', 'work ethic', 'communication skills', 'ms office', 'excel']"
"['Position', 'Position', 'Business Function', 'Work Activity', 'Management', 'Business Function', 'Soft Skill', 'Solution']","['market research', 'consultant', 'business consulting', 'ms word', 'planning', 'excel', 'management', 'interpersonal skills']"
"['Position', 'Industry', 'Programming Language', 'Academic Discipline', 'Industry', 'Industry', 'Work Activity', 'Platform', 'Platform', 'Competency', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Competency']","['xml', 'c', 'relational databases', 'windows', 'programming languages', 'ms word', 'python', 'perl', 'develop software', 'software', 'data processing', 'software developer', 'c#', 'ruby', 'java', 'unix', 'information processing']"
"['Position', 'Position', 'Industry', 'Position', 'Soft Skill', 'Solution']","['logistics', 'communication skills', 'administrative officer', 'team player', 'receptionist', 'excel']"
"['Industry', 'Soft Skill', 'Solution', 'Solution']","['excel', 'logistics', 'ms word', 'interpersonal skills']"
"['Industry', 'Education Level', 'Soft Skill', 'Programming Language', 'Industry']","['c', 'distribution', 'high-school degree', 'presentation', 'consumer goods']"
"['Industry', 'Industry', 'Education Level', 'Industry', 'Soft Skill', 'Programming Language']","['c', 'sales', 'distribution', 'high-school degree', 'presentation', 'consumer goods']"
"['Industry', 'Position', 'Industry', 'Position', 'Position', 'Education Level', 'Platform']","['ba degree', 'web design', 'windows', 'software', 'html', 'technical writer', 'excel']"
"['Soft Skill', 'Solution', 'Solution']","['excel', 'ms word', 'communication skills']"
"['Industry', 'Industry', 'Education Level', 'Industry', 'Soft Skill', 'Programming Language']","['c', 'sales', 'distribution', 'high-school degree', 'presentation', 'consumer goods']"
['Industry'],['media']
['Industry'],['media']
['Industry'],['media']
