user_id,skill
55,109
55,9
55,35
55,27
55,275
55,53
55,96
55,76
55,179
55,3
55,67
55,21
55,19
55,12
55,22
55,28
56,276
56,277
56,278
56,127
56,22
56,279
56,36
56,61
56,62
56,43
56,44
56,34
56,232
56,145
56,217
56,48
56,25
56,18
56,24
56,67
56,5
57,280
57,281
57,282
57,4
57,6
57,85
57,113
57,283
57,15
57,108
57,190
57,109
57,121
57,145
57,79
57,24
57,80
57,103
57,86
57,25
57,13
58,227
58,284
58,285
58,186
58,22
58,15
58,36
58,34
58,25
58,75
58,37
58,38
58,61
58,62
58,64
58,65
58,32
58,232
58,47
58,43
58,151
59,286
59,287
59,288
59,145
59,121
59,96
59,259
59,11
59,8
59,79
59,12
59,86
59,35
59,22
59,289
59,27
59,109
59,290
59,4
59,60
59,124
60,291
60,192
60,292
60,186
60,22
60,36
60,34
60,25
60,131
60,37
60,38
60,61
60,62
60,64
60,65
60,32
60,232
60,47
60,43
60,145
60,151
61,293
61,294
61,295
61,217
61,36
61,58
61,61
61,62
61,43
61,44
61,34
61,296
61,37
61,22
61,47
61,233
61,297
61,79
61,25
61,24
61,67
62,298
62,299
62,300
62,127
62,229
62,162
62,22
62,97
62,40
62,77
62,153
62,151
62,43
62,61
62,62
62,12
62,107
62,42
62,301
62,3
62,11
63,302
63,303
63,304
63,108
63,305
63,15
63,110
63,19
63,9
63,12
63,306
63,307
63,27
63,13
63,35
63,85
63,5
63,52
63,121
63,22
64,308
64,309
64,310
64,126
64,74
64,77
64,311
64,42
64,301
64,65
64,25
64,61
64,62
64,43
64,19
64,312
64,313
64,131
64,314
64,315
65,136
65,316
65,317
65,126
65,74
65,77
65,311
65,42
65,301
65,65
65,25
65,61
65,62
65,43
65,19
65,312
65,313
65,131
65,314
65,315
66,32
66,318
66,288
66,10
66,8
66,15
66,4
66,319
66,110
66,9
66,108
66,121
66,11
66,25
66,52
66,80
66,67
66,88
66,109
66,13
67,238
67,252
67,320
67,321
67,322
67,22
67,97
67,121
67,3
67,36
67,37
67,186
67,65
67,42
67,87
67,151
67,61
67,43
67,62
67,32
68,323
68,294
68,324
68,108
68,109
68,13
68,9
68,76
68,10
68,21
68,19
68,12
68,35
68,102
68,7
68,325
68,199
68,5
68,16
68,4
69,326
69,295
69,141
69,108
69,190
69,10
69,109
69,13
69,4
69,9
69,76
69,17
69,12
69,35
69,102
69,7
69,325
69,199
69,5
69,16
70,109
70,327
70,328
70,4
70,108
70,6
70,132
70,12
70,110
70,9
70,87
70,53
70,118
70,103
70,329
70,52
70,67
70,85
70,113
70,250
71,315
71,330
71,331
71,322
71,22
71,34
71,160
71,161
71,162
71,77
71,61
71,62
71,43
71,151
71,65
71,42
71,80
71,24
71,52
71,163
72,332
72,333
72,334
72,197
72,97
72,198
72,36
72,22
72,25
72,61
72,43
72,38
72,37
72,65
72,34
72,7
72,79
72,51
72,35
72,102
73,335
73,336
73,337
73,111
73,217
73,14
73,60
73,112
73,338
73,4
73,45
73,113
73,12
73,7
73,35
73,79
73,89
73,25
73,121
73,13
74,339
74,340
74,239
74,127
74,22
74,36
74,61
74,62
74,43
74,44
74,34
74,232
74,145
74,217
74,48
74,25
74,18
74,24
74,67
74,5
75,341
75,342
75,343
75,10
75,160
75,22
75,12
75,132
75,118
75,21
75,108
75,110
75,119
75,194
75,6
75,79
75,102
75,88
75,344
75,28
76,345
76,346
76,239
76,10
76,255
76,347
76,12
76,121
76,21
76,19
76,108
76,348
76,25
76,35
76,23
76,51
76,349
76,24
76,344
76,28
77,158
77,350
77,57
77,10
77,255
77,347
77,12
77,121
77,21
77,19
77,108
77,348
77,25
77,35
77,23
77,51
77,349
77,24
77,344
77,28
78,351
78,70
78,302
78,13
78,4
78,3
78,14
78,232
78,26
78,139
78,79
78,27
78,11
78,217
78,87
78,352
78,58
78,110
78,109
78,124
79,353
79,320
79,354
79,86
79,269
79,76
79,13
79,329
79,307
79,179
79,19
79,108
79,121
79,145
79,21
79,355
79,356
79,23
79,25
79,27
80,357
80,358
80,359
80,74
80,22
80,37
80,65
80,25
80,27
80,36
80,79
80,186
80,38
80,77
80,153
80,360
80,64
80,61
80,62
80,275
81,199
81,60
81,201
81,86
81,269
81,76
81,13
81,329
81,307
81,179
81,19
81,108
81,121
81,145
81,21
81,355
81,356
81,23
81,25
81,27
82,361
82,63
82,362
82,36
82,127
82,22
82,47
82,46
82,37
82,61
82,62
82,167
82,34
82,43
82,64
82,65
82,38
82,44
82,363
82,364
83,352
83,365
83,366
83,108
83,10
83,13
83,109
83,4
83,9
83,76
83,21
83,19
83,12
83,139
83,124
83,325
83,199
83,5
83,15
83,16
84,367
84,368
84,334
84,74
84,22
84,97
84,121
84,3
84,36
84,37
84,65
84,38
84,151
84,42
84,369
84,370
84,345
84,80
84,24
84,53
85,371
85,372
85,373
85,186
85,22
85,36
85,97
85,25
85,34
85,15
85,61
85,43
85,38
85,37
85,65
85,7
85,79
85,51
85,35
85,102
86,374
86,375
86,376
86,377
86,75
86,378
86,305
86,97
86,114
86,25
86,65
86,379
86,226
86,11
86,3
86,121
86,21
86,108
86,18
86,6
87,380
87,381
87,333
87,40
87,75
87,152
87,46
87,41
87,45
87,382
87,61
87,62
87,43
87,107
87,42
87,63
87,22
87,48
87,51
87,3
88,277
88,55
88,373
88,12
88,107
88,42
88,22
88,34
88,32
88,19
88,383
88,191
88,151
88,301
88,35
88,52
88,89
88,124
88,384
88,314
89,357
89,385
89,134
89,75
89,215
89,246
89,160
89,3
89,97
89,22
89,121
89,77
89,191
89,65
89,61
89,62
89,43
89,151
89,247
90,386
90,387
90,73
90,75
90,87
90,246
90,215
90,97
90,101
90,3
90,22
90,121
90,77
90,151
90,191
90,65
90,301
90,12
90,247
91,388
91,389
91,390
91,9
91,275
91,113
91,17
91,108
91,13
91,15
91,391
91,6
91,102
91,67
91,51
91,103
91,22
91,109
91,190
92,286
92,247
92,392
92,126
92,74
92,77
92,311
92,42
92,301
92,65
92,61
92,62
92,43
92,19
92,312
92,313
92,131
92,314
92,315
93,393
93,394
93,395
93,145
93,179
93,215
93,160
93,185
93,221
93,102
93,283
93,3
93,76
93,34
93,60
93,255
93,110
93,199
93,28
94,351
94,396
94,397
94,126
94,74
94,77
94,311
94,42
94,301
94,65
94,61
94,62
94,43
94,19
94,312
94,313
94,131
94,314
94,315
95,398
95,38
95,320
95,126
95,74
95,77
95,311
95,42
95,301
95,65
95,25
95,61
95,62
95,43
95,19
95,312
95,313
95,314
95,315
96,399
96,64
96,400
96,22
96,153
96,77
96,43
96,226
96,37
96,36
96,65
96,61
96,62
96,11
96,103
96,48
96,79
96,14
96,401
97,402
97,403
97,279
97,126
97,74
97,77
97,311
97,42
97,301
97,65
97,25
97,61
97,62
97,43
97,19
97,312
97,313
97,314
97,315
98,404
98,405
98,406
98,321
98,74
98,97
98,37
98,34
98,121
98,38
98,36
98,151
98,62
98,43
98,301
98,42
98,61
98,79
98,131
99,407
99,45
99,408
99,409
99,14
99,59
99,61
99,34
99,62
99,151
99,191
99,43
99,67
99,11
99,52
99,25
99,18
99,53
99,22
100,410
100,269
100,411
100,272
100,96
100,325
100,122
100,119
100,88
100,22
100,412
100,35
100,102
100,24
100,50
100,344
100,27
100,53
100,28
101,413
101,211
101,74
101,126
101,74
101,77
101,311
101,42
101,301
101,65
101,25
101,61
101,62
101,43
101,12
101,313
101,314
101,315
101,22
102,414
102,415
102,416
102,130
102,377
102,32
102,75
102,39
102,65
102,27
102,307
102,378
102,160
102,36
102,37
102,38
102,45
102,23
102,259
103,417
103,418
103,419
103,190
103,12
103,76
103,17
103,110
103,307
103,145
103,11
103,23
103,4
103,27
103,232
103,87
103,15
103,109
103,121
104,63
104,420
104,370
104,108
104,109
104,19
104,119
104,96
104,76
104,121
104,122
104,110
104,25
104,123
104,67
104,124
104,12
104,79
104,27
105,421
105,258
105,422
105,377
105,75
105,378
105,305
105,97
105,114
105,11
105,25
105,65
105,3
105,226
105,121
105,21
105,108
105,18
105,6
106,378
106,423
106,424
106,217
106,87
106,11
106,114
106,34
106,19
106,22
106,97
106,13
106,4
106,51
106,255
106,12
106,108
106,113
106,425
107,426
107,73
107,427
107,127
107,22
107,279
107,36
107,61
107,62
107,43
107,44
107,34
107,232
107,48
107,25
107,18
107,24
107,67
107,5
108,49
108,428
108,147
108,108
108,305
108,76
108,6
108,119
108,163
108,110
108,14
108,19
108,21
108,53
108,4
108,67
108,48
108,52
108,255
109,233
109,359
109,429
109,430
109,35
109,22
109,118
109,160
109,431
109,306
109,312
109,25
109,19
109,113
109,6
109,102
109,432
109,21
109,433
110,434
110,435
110,193
110,36
110,74
110,22
110,436
110,307
110,32
110,322
110,5
110,37
110,38
110,65
110,44
110,437
110,61
110,62
110,25
111,438
111,73
111,439
111,149
111,22
111,436
111,307
111,32
111,5
111,322
111,37
